"MID";"WAV"
0.00000;0.10769
1.50000;0.99227
2.00000;1.28482
2.50000;1.56187
3.00000;1.84650
3.50000;2.13121
4.00000;2.40829
4.50000;2.70046
5.00000;3.00038
5.50000;3.27016
6.00000;3.53946
6.50000;3.81629
7.00000;4.08570
7.50000;4.37770
8.00000;4.67759
8.50000;4.92492
8.75000;5.06648
9.00000;5.20878
9.50000;5.48591
10.00000;5.80044
10.50000;6.10087
10.75000;6.23639
11.00000;6.35641
11.50000;6.60990
12.00000;6.87144
12.50000;7.13303
13.00000;7.40206
13.50000;7.67135
13.75000;7.80605
14.00000;7.94073
14.50000;8.20268
14.99792;8.55000
