"MID";"WAV"
0.00000;0.00000
0.06250;0.03000
0.12500;0.06002
0.18750;0.09001
0.25000;0.12003
0.50000;0.24005
1.00000;0.48010
1.06250;0.51011
1.12500;0.54012
1.18750;0.57011
1.25000;0.60012
1.50000;0.72015
2.00000;0.96019
2.06250;0.99021
2.12500;1.02021
2.18750;1.05022
2.25000;1.08022
2.50000;1.19996
3.00000;1.40107
3.06250;1.43108
3.12500;1.46139
3.18750;1.49545
3.25000;1.52539
3.50000;1.64115
4.00000;1.88553
4.06250;1.91594
4.12500;1.94990
4.18750;1.98023
4.25000;2.01427
4.50000;2.13373
5.00000;2.31768
5.06250;2.34768
5.12500;2.37853
5.18750;2.41642
5.25000;2.44642
5.50000;2.56651
6.00000;2.81056
7.50000;3.47442
8.00000;3.71931
8.50000;3.99011
8.56250;4.02518
8.62500;4.06240
8.68750;4.09398
8.75000;4.13076
9.00000;4.24078
9.50000;4.41510
9.99792;4.74998
