"MID";"WAV"
0.00000;0.00000
0.25000;0.10712
0.50000;0.21424
0.75000;0.32136
1.00000;0.42848
1.25000;0.53560
1.50000;0.64272
1.75000;0.74984
2.00000;0.85695
2.06250;0.88373
2.25000;0.96407
2.50000;1.07119
2.75000;1.17831
3.00000;1.28543
3.25000;1.39255
3.50000;1.49967
3.75000;1.60679
4.00000;1.71391
4.25000;1.82102
4.50000;1.92815
4.75000;2.03527
5.00000;2.14239
5.25000;2.24950
5.50000;2.35663
5.75000;2.46374
6.00000;2.57086
6.25000;2.67798
6.50000;2.78510
6.75000;2.89222
7.00000;2.99934
7.25000;3.10646
7.50000;3.21357
7.75000;3.32070
7.99792;3.35000
