"MID";"WAV"
0.00000;0.00000
2.25000;3.08950
2.50000;3.46608
2.66667;3.69798
2.83333;3.87216
3.00000;4.03956
3.75000;5.06921
4.00000;5.51874
4.25000;5.98249
4.50000;6.49687
6.50000;9.05191
6.75000;9.42851
7.00000;9.80512
7.16667;10.05615
7.33333;10.27149
7.50000;10.41832
8.25000;11.48820
8.50000;11.92472
8.75000;12.35331
9.00000;12.79794
9.50000;13.63123
10.00000;14.34447
10.50000;15.01588
11.50000;16.41998
12.00000;17.31199
14.00000;20.58720
14.50000;21.64712
15.00000;22.47667
15.99792;24.05000
