"MID";"WAV"
0.25000;0.09064
0.50000;0.18130
0.75000;0.27194
1.00000;0.36259
1.25000;0.45324
1.50000;0.54390
1.75000;0.63454
2.00000;0.72519
2.25000;0.81584
2.50000;0.90649
2.75000;0.99713
3.00000;1.08778
3.25000;1.17842
3.50000;1.26908
3.75000;1.35974
4.00000;1.45038
4.25000;1.54102
4.50000;1.63168
4.75000;1.72232
5.00000;1.81297
5.25000;1.90362
5.50000;1.99426
5.75000;2.08491
6.00000;2.17556
6.25000;2.26622
6.50000;2.35686
6.75000;2.44752
7.00000;2.53816
7.25000;2.62881
7.50000;2.71945
7.75000;2.81011
7.99792;2.95000
