"MID";"WAV"
0.00000;0.12974
0.50000;0.38034
1.00000;0.61006
1.50000;0.81932
2.00000;1.04494
2.12500;1.13258
2.25000;1.22036
2.37500;1.29227
2.50000;1.37600
2.62500;1.44877
2.75000;1.51159
2.87500;1.59938
3.00000;1.68718
3.50000;1.91255
4.00000;2.14769
4.50000;2.42778
5.00000;2.70020
6.00000;3.21442
6.50000;3.44156
7.00000;3.69119
7.50000;4.00526
8.00000;4.17906
8.12500;4.24883
8.25000;4.27825
8.37500;4.30280
8.50000;4.32798
8.62500;4.39818
8.75000;4.48601
8.87500;4.62711
9.00000;4.72151
9.50000;4.91988
10.00000;5.13941
10.50000;5.39979
11.00000;5.68300
12.00000;6.19140
14.00000;7.22057
14.50000;7.49883
15.00000;7.78159
17.00000;8.80068
17.50000;9.06149
18.00000;9.32241
21.49792;11.85000
