"MID";"WAV"
0.50000;0.04336
1.00000;0.24672
1.50000;0.45009
2.00000;0.54666
2.25000;0.59538
2.50000;0.69681
3.00000;0.90027
3.50000;1.16340
4.00000;1.40686
4.50000;1.61026
5.00000;1.81367
5.25000;1.93527
5.50000;2.03713
6.00000;2.30026
6.50000;2.50370
7.00000;2.72707
7.50000;2.93049
8.00000;3.16788
8.25000;3.27547
8.50000;3.37714
9.00000;3.62052
9.50000;3.84393
10.00000;4.08714
10.50000;4.29059
11.00000;4.52792
11.50000;4.73724
12.00000;4.87369
12.12500;4.90461
12.25000;4.92496
12.37500;4.95325
12.50000;5.00404
12.62500;5.05488
12.75000;5.10572
12.87500;5.15657
13.00000;5.20740
13.12500;5.25824
13.25000;5.30908
13.37500;5.35985
13.50000;5.40053
13.62500;5.44162
13.75000;5.49244
13.87500;5.54329
14.00000;5.59412
14.12500;5.64496
14.25000;5.69581
14.37500;5.74665
14.50000;5.79749
14.62500;5.84833
14.75000;5.89917
14.87500;5.95002
14.99792;6.05000
