"MID";"WAV"
0.00000;0.00000
0.33333;0.10709
0.66667;0.21417
1.00000;0.32125
2.00000;0.64251
3.00000;0.96376
4.00000;1.28500
4.33333;1.39209
4.66667;1.49918
5.00000;1.60627
6.00000;1.92752
7.00000;2.24876
8.00000;2.57002
8.33333;2.67711
8.66667;2.78418
9.00000;2.89127
10.00000;3.21253
10.33333;3.31961
10.66667;3.42670
11.00000;3.53378
12.00000;3.85503
13.00000;4.17629
13.12500;4.21644
13.25000;4.25659
13.37500;4.29675
13.50000;4.33691
13.62500;4.37707
13.75000;4.41723
13.87500;4.45738
14.00000;4.49754
15.00000;4.81879
15.12500;4.85894
15.25000;4.89911
15.37500;4.93926
15.50000;4.97942
15.62500;5.01957
15.75000;5.05973
15.87500;5.09989
16.00000;5.13624
16.49792;5.25002
