"MID";"WAV"
0.00000;0.00000
1.50000;1.94156
2.00000;2.37555
2.33333;2.71806
2.66667;3.10063
3.00000;3.48318
4.50000;5.16479
5.00000;5.75866
5.06250;5.83561
5.12500;5.92210
5.50000;6.35252
6.00000;6.94639
7.50000;8.76618
8.00000;9.26191
8.33333;9.64443
8.66667;10.02703
9.00000;10.40961
10.50000;12.13121
11.00000;12.72329
11.50000;13.39893
12.00000;13.87283
12.50000;14.44667
13.00000;14.97637
13.50000;15.45446
14.00000;16.02827
14.50000;16.60216
15.00000;17.21061
16.00000;18.37760
17.00000;19.55385
17.50000;20.10712
18.00000;20.68219
20.99792;24.05000
