"MID";"WAV"
0.50000;0.16525
1.00000;0.31051
1.50000;0.45576
2.00000;0.60101
2.50000;0.74626
3.00000;0.89151
3.50000;1.03677
4.00000;1.18202
4.50000;1.32727
5.00000;1.47252
5.50000;1.61778
6.00000;1.76301
6.50000;1.89879
7.00000;2.03353
7.50000;2.17879
8.00000;2.32404
8.25000;2.39667
8.50000;2.46929
9.00000;2.61454
9.50000;2.75991
10.00000;2.94501
10.25000;3.01768
10.50000;3.10531
11.00000;3.25554
11.50000;3.40080
12.00000;3.54606
12.25000;3.61868
12.50000;3.69131
13.00000;3.83656
13.50000;3.98182
14.00000;4.12707
14.25000;4.19969
14.50000;4.27232
15.00000;4.41752
15.50000;4.53413
16.00000;4.57516
16.50000;4.63358
17.00000;4.77859
17.50000;4.94384
18.00000;5.08909
18.50000;5.23434
19.00000;5.37959
19.50000;5.54485
20.00000;5.69011
20.99792;6.05000
