"MID";"WAV"
0.00000;0.10872
0.25000;0.29258
0.50000;0.50103
0.75000;0.70748
1.00000;0.88214
1.25000;1.01689
1.50000;1.18323
1.75000;1.37368
2.00000;1.56421
2.25000;1.75473
2.50000;1.94526
2.75000;2.13579
3.00000;2.32631
3.25000;2.49708
3.50000;2.66762
3.75000;2.85789
4.00000;3.01849
4.25000;3.19195
4.50000;3.36966
4.75000;3.52061
5.00000;3.71052
5.25000;3.90105
5.50000;4.09156
5.75000;4.26722
6.00000;4.45270
6.25000;4.64315
6.50000;4.85196
6.75000;5.07971
7.00000;5.28704
7.25000;5.46070
7.50000;5.58763
7.75000;5.75753
7.99792;5.95002
