"MID";"WAV"
0.00000;0.16453
0.25000;0.26941
0.50000;0.37881
0.75000;0.48818
1.00000;0.55761
1.25000;0.66702
1.50000;0.77642
1.75000;0.88390
2.00000;0.96354
2.25000;1.06462
2.50000;1.17399
2.75000;1.26344
3.00000;1.37278
3.25000;1.46218
3.50000;1.55165
3.75000;1.66071
4.00000;1.73377
4.25000;1.83985
4.50000;1.94917
4.75000;2.03876
5.00000;2.14807
5.25000;2.23756
5.50000;2.34688
5.75000;2.45628
6.00000;2.56267
6.25000;2.63520
6.50000;2.74449
6.75000;2.85390
7.00000;2.96329
7.25000;3.05274
7.50000;3.13102
7.75000;3.23153
7.99792;3.45000
