MID;WAV
0.00000;0.00000
0.25000;0.04543
0.50000;0.12058
0.75000;0.19628
1.00000;0.25671
1.25000;0.30716
1.50000;0.39259
1.75000;0.47802
2.00000;0.56347
2.25000;0.66327
2.50000;0.75436
2.75000;0.85954
3.00000;0.94518
3.25000;1.03061
3.50000;1.11604
3.75000;1.20148
4.00000;1.28691
4.25000;1.37244
4.50000;1.49527
4.75000;1.58320
5.00000;1.66862
5.25000;1.75414
5.50000;1.85908
5.75000;1.94492
6.00000;2.03036
6.25000;2.11579
6.50000;2.20157
6.75000;2.36665
7.00000;2.45198
7.25000;2.51507
7.50000;2.56294
7.75000;2.64838
8.00000;2.73380
8.25000;2.81924
8.50000;2.90468
8.75000;2.99010
9.00000;3.07553
9.25000;3.16097
9.50000;3.24640
9.75000;3.34789
10.00000;3.43724
10.25000;3.52269
10.50000;3.60812
10.75000;3.69356
11.00000;3.75285
11.25000;3.78421
11.50000;3.83990
11.75000;3.91532
11.98542;4.05000
