"MID";"WAV"
0.00000;0.00000
0.50000;0.16210
1.00000;0.32419
1.50000;0.48627
2.00000;0.64836
2.50000;0.81046
3.00000;0.97255
3.50000;1.13464
4.00000;1.29674
4.50000;1.45884
5.00000;1.62092
5.50000;1.78301
6.00000;1.94510
6.50000;2.10720
7.00000;2.26929
7.50000;2.43138
8.00000;2.59348
8.50000;2.75557
9.00000;2.91765
9.50000;3.07975
10.00000;3.24185
10.50000;3.40394
11.00000;3.56603
11.50000;3.72812
12.00000;3.89022
12.50000;4.05230
13.00000;4.21439
13.50000;4.37649
14.00000;4.53634
14.49792;4.65000
