"MID";"WAV"
0.00000;0.00000
2.00000;0.80898
2.50000;0.99179
3.00000;1.17453
3.50000;1.34960
4.00000;1.53241
5.00000;1.89809
6.00000;2.27888
7.00000;2.59788
8.00000;2.93240
10.00000;3.61697
10.50000;3.79182
11.00000;3.95905
11.50000;4.12682
12.00000;4.31666
13.00000;4.63564
14.00000;4.96265
15.00000;5.31326
16.00000;5.70092
18.00000;6.30055
18.50000;6.47556
19.00000;6.65058
19.50000;6.82559
20.00000;7.00061
20.50000;7.17563
21.00000;7.35064
21.50000;7.52565
22.00000;7.70067
22.50000;7.87568
23.00000;8.05102
23.50000;8.23115
23.99792;8.35000
