"MID";"WAV"
0.00000;0.19179
1.50000;1.61224
2.00000;2.08308
2.50000;2.59377
3.00000;3.06467
3.20000;3.28428
3.40000;3.49660
3.60000;3.71053
3.80000;3.92296
4.00000;4.15133
5.33333;5.42130
5.66667;5.69542
6.00000;6.04923
7.50000;7.60712
8.00000;8.09782
8.50000;8.57984
9.00000;9.10423
9.20000;9.26619
9.40000;9.47850
9.60000;9.69019
9.80000;9.86312
10.00000;10.07501
11.33333;11.28826
11.66667;11.62465
12.00000;11.97836
13.50000;13.51068
14.00000;14.02160
14.50000;14.55145
15.00000;14.98292
16.50000;16.49346
17.00000;16.98579
17.50000;17.43470
17.99792;17.85002
