"MID";"WAV"
0.00000;0.10513
0.50000;0.50574
1.00000;1.01564
1.75000;1.80427
2.00000;2.06714
2.50000;2.49869
3.25000;3.28719
3.50000;3.50305
4.00000;3.98151
6.00000;6.38326
6.50000;6.88398
7.00000;7.35627
7.50000;7.91336
7.75000;8.16065
8.00000;8.42346
8.25000;8.68634
8.50000;8.93358
8.75000;9.19638
9.00000;9.44359
9.25000;9.69079
9.50000;9.92228
9.75000;10.15368
10.00000;10.40075
11.50000;12.29221
12.00000;12.81828
12.50000;13.34403
13.00000;13.86979
13.75000;14.65843
14.00000;14.92132
14.50000;15.44707
15.00000;15.97283
15.50000;16.49860
16.00000;17.02437
17.49792;18.44998
