"MID";"WAV"
0.00000;0.00000
0.50000;0.46272
1.00000;0.96542
1.50000;1.46794
2.00000;1.81073
2.25000;2.02214
2.50000;2.25350
2.75000;2.48876
3.00000;2.75618
3.50000;3.21887
4.00000;3.68169
4.50000;4.24422
5.50000;5.08942
6.00000;5.45237
6.25000;5.68405
6.50000;5.96840
7.00000;6.37236
7.50000;6.82063
7.75000;7.07198
8.00000;7.32306
8.50000;7.76585
9.00000;8.22854
9.25000;8.45922
9.50000;8.63101
10.00000;9.05393
10.50000;9.51663
10.75000;9.74779
11.00000;9.95934
11.25000;10.19068
11.50000;10.42132
11.99792;10.75000
