"MID";"WAV"
0.00000;0.00000
0.50000;0.20420
1.00000;0.40840
1.25000;0.51051
1.50000;0.61260
1.75000;0.71471
2.00000;0.81681
2.50000;1.02101
3.00000;1.22521
3.50000;1.42941
4.00000;1.63362
4.50000;1.83782
5.00000;2.04202
5.25000;2.14412
5.50000;2.24622
6.00000;2.45043
6.50000;2.65463
7.00000;2.85883
7.25000;2.96093
7.50000;3.06303
7.75000;3.16513
8.00000;3.26723
8.50000;3.47143
9.00000;3.67564
9.50000;3.87984
10.00000;4.08404
10.50000;4.28824
11.00000;4.49245
11.25000;4.59455
11.50000;4.69577
11.99792;4.85000
