"MID";"WAV"
0.00000;0.09444
0.50000;0.37081
1.00000;0.60273
1.50000;0.85132
2.00000;1.09990
2.50000;1.35405
3.00000;1.59708
3.50000;1.89563
3.56250;1.96549
3.68750;2.02986
3.81250;2.09889
3.93750;2.16248
4.06250;2.24249
4.18750;2.32270
4.31250;2.39740
4.43750;2.47755
4.56250;2.55226
4.68750;2.63787
4.81250;2.71815
5.00000;2.80810
6.00000;3.20001
6.50000;3.50359
7.00000;3.81325
7.25000;3.96809
7.50000;4.10646
7.75000;4.25014
8.00000;4.39387
8.50000;4.64820
8.75000;4.78076
9.00000;4.91889
9.25000;5.05157
9.50000;5.18968
10.50000;5.69810
11.99792;6.15000
