"MID";"WAV"
0.00000;0.00000
0.50000;0.16779
1.00000;0.33428
1.50000;0.49054
2.00000;0.66399
2.50000;0.81027
3.00000;0.97553
3.25000;1.04933
3.50000;1.12238
3.75000;1.17676
4.00000;1.23197
4.25000;1.30158
4.50000;1.37448
5.00000;1.52053
5.50000;1.69352
6.00000;1.84431
6.50000;2.00563
7.00000;2.18358
7.50000;2.34998
7.75000;2.42383
8.00000;2.49686
8.25000;2.56989
8.50000;2.63856
8.75000;2.69824
9.00000;2.79741
9.50000;2.95516
10.00000;3.15682
10.50000;3.32599
10.75000;3.41777
11.00000;3.51079
11.25000;3.58620
11.50000;3.65923
11.75000;3.73226
12.00000;3.82037
12.50000;3.97115
13.00000;4.13603
13.50000;4.28709
13.99792;4.54998
