"MID";"WAV"
0.00000;0.00000
0.12500;0.03855
0.25000;0.07710
0.37500;0.11566
0.50000;0.15420
1.00000;0.30840
2.00000;0.61680
2.12500;0.65535
2.25000;0.69390
2.37500;0.73246
2.50000;0.77100
3.00000;0.92520
4.00000;1.23360
4.12500;1.27215
4.25000;1.31070
4.37500;1.34925
4.50000;1.38780
5.00000;1.54198
6.00000;1.80731
6.50000;1.95673
7.00000;2.10139
7.50000;2.25555
8.00000;2.40020
8.50000;2.54008
9.00000;2.69902
10.00000;3.00269
10.25000;3.08930
11.00000;3.31583
11.25000;3.39288
12.00000;3.60031
12.50000;3.76402
13.00000;3.90390
13.50000;4.04855
14.00000;4.20753
14.50000;4.36651
15.00000;4.52071
16.00000;4.79563
16.25000;4.87747
17.00000;5.09922
17.25000;5.20019
17.49792;5.35000
