"MID";"WAV"
0.00000;0.00000
4.50000;4.12186
5.00000;4.63783
5.12500;4.74966
5.25000;4.84780
5.37500;4.94581
5.50000;5.04386
6.00000;5.50488
9.00000;8.16102
9.75000;8.79065
10.00000;9.01428
11.50000;10.38362
12.00000;10.80336
13.00000;11.62914
14.00000;12.52367
14.75000;13.19458
14.87500;13.30639
15.00000;13.41841
15.75000;14.32291
16.00000;14.56043
16.12500;14.65857
16.25000;14.75658
16.37500;14.85460
16.50000;14.95274
16.62500;15.06450
16.75000;15.16256
16.87500;15.27438
17.00000;15.37243
17.99792;16.05002
