"MID";"WAV"
0.00000;0.00000
0.50000;0.23605
1.00000;0.47208
1.50000;0.70812
2.00000;0.94416
2.50000;1.18020
3.00000;1.41623
3.50000;1.65228
4.00000;1.88831
5.00000;2.36039
5.12500;2.41940
5.25000;2.47841
5.37500;2.53743
5.50000;2.59644
5.62500;2.65544
5.75000;2.71446
5.87500;2.77346
6.00000;2.83247
6.50000;3.06851
7.00000;3.30455
7.12500;3.36356
7.25000;3.42257
7.37500;3.48158
7.50000;3.54059
7.62500;3.59959
7.75000;3.65862
7.87500;3.71762
8.00000;3.77646
8.50000;3.99681
9.00000;4.20695
9.50000;4.43808
9.75000;4.56627
10.00000;4.68420
10.50000;4.90955
11.00000;5.11501
11.50000;5.37661
11.75000;5.48994
12.00000;5.62314
12.49792;5.85000
