"MID";"WAV"
0.00000;0.10128
0.50000;1.41103
1.00000;1.92719
1.50000;2.29098
2.00000;2.77798
2.50000;3.99939
2.75000;4.24977
3.00000;4.50158
6.00000;7.24320
6.50000;7.84652
7.00000;8.23050
7.50000;8.59429
8.00000;8.97772
8.50000;9.48113
8.75000;9.81274
9.00000;9.91963
9.25000;10.11678
9.50000;10.28879
9.75000;10.38057
10.00000;10.53232
10.25000;10.64443
10.50000;10.77626
11.75000;12.49418
12.00000;12.72641
12.25000;12.89858
12.50000;12.95130
12.75000;13.06226
13.00000;13.27889
13.25000;13.42595
13.50000;13.53482
13.99792;14.05000
