"MID";"WAV"
0.50000;0.52407
0.56250;0.57464
1.00000;0.98810
1.50000;1.39221
2.50000;2.14037
2.56250;2.19085
3.00000;2.58441
3.50000;2.98844
4.50000;3.73664
4.56250;3.79840
5.25000;4.36271
5.50000;4.58474
5.83333;4.85412
6.16667;5.06348
6.50000;5.31291
6.83333;5.56218
7.16667;5.77165
7.50000;6.06097
8.50000;6.80030
8.56250;6.83968
8.68750;6.92070
8.83333;7.03852
9.16667;7.29958
9.50000;7.53727
9.83333;7.80665
10.16667;8.03603
10.50000;8.30542
10.83333;8.51532
11.16667;8.75280
11.50000;9.01556
12.49792;9.45000
