"Start";"Duration";"Pitch"
0.0;0.9479166666666666;74
1.0;0.9479166666666667;69
2.5;0.47291666666666643;69
3.0;0.47291666666666643;69
3.5;0.47291666666666643;71
4.0;0.47291666666666643;74
4.5;0.47291666666666643;72
5.0;0.7104166666666663;71
5.75;0.2354166666666666;70
6.0;0.947916666666667;70
7.0;0.47291666666666643;71
8.0;0.9479166666666661;79
9.0;0.9479166666666661;69
10.5;0.47291666666666643;69
11.0;0.47291666666666643;68
11.5;0.47291666666666643;69
12.0;0.47291666666666643;76
12.5;0.47291666666666643;69
13.0;0.060416666666666785;73
13.0625;0.6479166666666671;71
13.75;0.23541666666666572;69
14.0;1.8979166666666671;69
