"Start";"Duration";"Pitch"
0.0;0.7489583333333333;73
0.75;0.24895833333333328;78
1.0;0.7489583333333334;81
1.75;0.2489583333333334;78
2.0;0.7489583333333334;77
2.75;0.12395833333333339;78
2.875;0.12395833333333339;80
3.0;0.9989583333333334;78
4.0;0.7489583333333334;74
4.75;0.12395833333333339;76
4.875;0.12395833333333339;78
5.0;0.9989583333333334;73
6.0;0.12395833333333339;71
6.125;0.12395833333333339;69
6.25;0.12395833333333339;69
6.375;0.12395833333333339;68
6.5;0.3739583333333334;68
6.875;0.12395833333333339;73
