"Start";"Duration";"Pitch"
0.0;0.12395833333333334;64
0.125;0.12395833333333334;66
0.25;0.12395833333333334;67
0.375;0.24895833333333328;71
0.625;0.3739583333333333;71
1.0;0.12395833333333339;69
1.125;0.2489583333333334;71
1.375;0.4989583333333334;69
1.875;0.2489583333333334;71
2.125;1.2489583333333334;64
4.5;0.12395833333333339;64
4.625;0.12395833333333339;66
4.75;0.12395833333333339;67
4.875;0.2489583333333334;71
5.125;0.3739583333333334;71
5.5;0.12395833333333339;69
5.625;0.2489583333333334;71
5.875;0.4989583333333334;69
6.375;0.2489583333333334;71
6.625;1.2489583333333334;62
