"Start";"Duration";"Pitch"
0.0;0.12395833333333334;87
0.125;1.3739583333333334;88
1.5;0.12395833333333339;87
1.625;1.3739583333333334;79
3.0;0.12395833333333339;79
3.125;1.3739583333333334;88
4.5;0.12395833333333339;87
4.625;1.9989583333333334;86
6.625;0.4989583333333334;86
7.125;0.4989583333333334;88
7.625;0.7489583333333325;88
8.375;0.2489583333333325;90
8.625;0.2489583333333325;92
8.875;0.2489583333333325;93
9.125;1.3739583333333325;93
10.5;0.1239583333333325;100
10.625;0.9989583333333325;99
