"Start";"Duration";"Pitch"
0.0;0.24895833333333334;70
0.25;0.24895833333333334;71
0.75;0.24895833333333328;73
1.0;0.2489583333333334;71
1.5;0.2489583333333334;70
1.75;0.2489583333333334;71
2.25;0.2489583333333334;73
2.5;0.2489583333333334;71
3.0;0.9989583333333334;69
4.0;0.2489583333333334;66
4.25;0.2489583333333334;64
4.5;0.2489583333333334;64
4.75;0.12291666666666679;63
4.875;0.12395833333333339;61
5.0;0.2489583333333334;59
5.25;0.4989583333333334;61
5.75;0.2489583333333334;63
6.0;0.4989583333333334;64
6.5;0.2489583333333334;59
6.75;0.4989583333333334;56
